window,start_sec,end_sec,prediction,label,confidence,tcd_score,overall_verdict,tampered_ratio,avg_confidence
0,0.0,0.27,1,TAMPERED,86.54,0.0,NORMAL,0.81,99.64
1,0.27,0.53,0,NORMAL,99.61,744733.0625,NORMAL,0.81,99.64
2,0.53,0.8,0,NORMAL,99.67,780534.75,NORMAL,0.81,99.64
3,0.8,1.07,0,NORMAL,99.67,796260.75,NORMAL,0.81,99.64
4,1.07,1.33,0,NORMAL,99.67,808673.75,NORMAL,0.81,99.64
5,1.33,1.6,0,NORMAL,99.64,810110.75,NORMAL,0.81,99.64
6,1.6,1.87,0,NORMAL,99.66,806094.1875,NORMAL,0.81,99.64
7,1.87,2.13,0,NORMAL,99.64,799044.1875,NORMAL,0.81,99.64
8,2.13,2.4,0,NORMAL,99.67,794301.375,NORMAL,0.81,99.64
9,2.4,2.67,0,NORMAL,99.64,782772.6875,NORMAL,0.81,99.64
10,2.67,2.93,0,NORMAL,99.69,780651.875,NORMAL,0.81,99.64
11,2.93,3.2,0,NORMAL,99.68,782378.375,NORMAL,0.81,99.64
12,3.2,3.47,0,NORMAL,99.69,807613.875,NORMAL,0.81,99.64
13,3.47,3.73,0,NORMAL,99.74,823726.875,NORMAL,0.81,99.64
14,3.73,4.0,0,NORMAL,99.76,820114.9375,NORMAL,0.81,99.64
15,4.0,4.27,0,NORMAL,99.78,832578.0,NORMAL,0.81,99.64
16,4.27,4.53,0,NORMAL,99.8,847228.625,NORMAL,0.81,99.64
17,4.53,4.8,0,NORMAL,99.79,857883.0625,NORMAL,0.81,99.64
18,4.8,5.07,0,NORMAL,99.8,863500.6875,NORMAL,0.81,99.64
19,5.07,5.33,0,NORMAL,99.78,856794.3125,NORMAL,0.81,99.64
20,5.33,5.6,0,NORMAL,99.78,839221.5625,NORMAL,0.81,99.64
21,5.6,5.87,0,NORMAL,99.73,841061.9375,NORMAL,0.81,99.64
22,5.87,6.13,0,NORMAL,99.77,844794.1875,NORMAL,0.81,99.64
23,6.13,6.4,0,NORMAL,99.75,847085.1875,NORMAL,0.81,99.64
24,6.4,6.67,0,NORMAL,99.76,831648.8125,NORMAL,0.81,99.64
25,6.67,6.93,0,NORMAL,99.7,823136.75,NORMAL,0.81,99.64
26,6.93,7.2,0,NORMAL,99.67,826885.1875,NORMAL,0.81,99.64
27,7.2,7.47,0,NORMAL,99.69,812974.4375,NORMAL,0.81,99.64
28,7.47,7.73,0,NORMAL,99.72,816945.375,NORMAL,0.81,99.64
29,7.73,8.0,0,NORMAL,99.74,813211.0,NORMAL,0.81,99.64
30,8.0,8.27,0,NORMAL,99.74,812341.0,NORMAL,0.81,99.64
31,8.27,8.53,0,NORMAL,99.77,833960.125,NORMAL,0.81,99.64
32,8.53,8.8,0,NORMAL,99.73,832784.4375,NORMAL,0.81,99.64
33,8.8,9.07,0,NORMAL,99.67,824243.375,NORMAL,0.81,99.64
34,9.07,9.33,0,NORMAL,99.64,804453.3125,NORMAL,0.81,99.64
35,9.33,9.6,0,NORMAL,99.66,797246.5625,NORMAL,0.81,99.64
36,9.6,9.87,0,NORMAL,99.62,782777.8125,NORMAL,0.81,99.64
37,9.87,10.13,0,NORMAL,99.64,789439.5,NORMAL,0.81,99.64
38,10.13,10.4,0,NORMAL,99.63,799818.0,NORMAL,0.81,99.64
39,10.4,10.67,0,NORMAL,99.65,807876.4375,NORMAL,0.81,99.64
40,10.67,10.93,0,NORMAL,99.66,797494.625,NORMAL,0.81,99.64
41,10.93,11.2,0,NORMAL,99.6,794096.875,NORMAL,0.81,99.64
42,11.2,11.47,0,NORMAL,99.63,787793.5625,NORMAL,0.81,99.64
43,11.47,11.73,0,NORMAL,99.68,775363.9375,NORMAL,0.81,99.64
44,11.73,12.0,0,NORMAL,99.7,758070.125,NORMAL,0.81,99.64
45,12.0,12.27,0,NORMAL,99.6,760529.375,NORMAL,0.81,99.64
46,12.27,12.53,0,NORMAL,99.6,766799.4375,NORMAL,0.81,99.64
47,12.53,12.8,0,NORMAL,99.68,760859.6875,NORMAL,0.81,99.64
48,12.8,13.07,0,NORMAL,99.74,760723.1875,NORMAL,0.81,99.64
49,13.07,13.33,0,NORMAL,99.73,744262.5625,NORMAL,0.81,99.64
50,13.33,13.6,0,NORMAL,99.71,750353.3125,NORMAL,0.81,99.64
51,13.6,13.87,0,NORMAL,99.68,746325.1875,NORMAL,0.81,99.64
52,13.87,14.13,0,NORMAL,99.72,743989.1875,NORMAL,0.81,99.64
53,14.13,14.4,0,NORMAL,99.63,731381.8125,NORMAL,0.81,99.64
54,14.4,14.67,0,NORMAL,99.55,730871.125,NORMAL,0.81,99.64
55,14.67,14.93,0,NORMAL,99.58,737774.125,NORMAL,0.81,99.64
56,14.93,15.2,0,NORMAL,99.54,736668.125,NORMAL,0.81,99.64
