window,start_sec,end_sec,prediction,label,confidence,tcd_score,overall_verdict,tampered_ratio,avg_confidence
70,18.67,18.93,1,TAMPERED,99.44,57217.8125,TAMPERED,100.0,99.5
71,18.93,19.2,1,TAMPERED,99.47,52669.8203125,TAMPERED,100.0,99.5
72,19.2,19.47,1,TAMPERED,100.0,49629.61328125,TAMPERED,100.0,99.5
73,19.47,19.73,1,TAMPERED,95.72,242926.203125,TAMPERED,100.0,99.5
74,19.73,20.0,1,TAMPERED,99.44,274807.5,TAMPERED,100.0,99.5
75,20.0,20.27,1,TAMPERED,99.55,268708.5625,TAMPERED,100.0,99.5
76,20.27,20.53,1,TAMPERED,98.91,304193.21875,TAMPERED,100.0,99.5
77,20.53,20.8,1,TAMPERED,99.59,236556.28125,TAMPERED,100.0,99.5
78,20.8,21.07,1,TAMPERED,99.36,280433.625,TAMPERED,100.0,99.5
79,21.07,21.33,1,TAMPERED,99.52,287264.0,TAMPERED,100.0,99.5
80,21.33,21.6,1,TAMPERED,99.52,311114.46875,TAMPERED,100.0,99.5
81,21.6,21.87,1,TAMPERED,99.53,356654.4375,TAMPERED,100.0,99.5
82,21.87,22.13,1,TAMPERED,99.4,393265.53125,TAMPERED,100.0,99.5
83,22.13,22.4,1,TAMPERED,99.7,370396.28125,TAMPERED,100.0,99.5
84,22.4,22.67,1,TAMPERED,100.0,321393.96875,TAMPERED,100.0,99.5
85,22.67,22.93,1,TAMPERED,100.0,375185.6875,TAMPERED,100.0,99.5
