window,start_sec,end_sec,prediction,label,confidence,tcd_score,overall_verdict,tampered_ratio,avg_confidence
0,0.0,0.27,1,TAMPERED,99.54,0.0,TAMPERED,100.0,95.56
1,0.27,0.53,1,TAMPERED,96.16,744733.0625,TAMPERED,100.0,95.56
2,0.53,0.8,1,TAMPERED,95.96,780534.75,TAMPERED,100.0,95.56
3,0.8,1.07,1,TAMPERED,95.67,796260.75,TAMPERED,100.0,95.56
4,1.07,1.33,1,TAMPERED,95.64,808673.75,TAMPERED,100.0,95.56
5,1.33,1.6,1,TAMPERED,95.98,810110.75,TAMPERED,100.0,95.56
6,1.6,1.87,1,TAMPERED,95.94,806094.1875,TAMPERED,100.0,95.56
7,1.87,2.13,1,TAMPERED,96.05,799044.1875,TAMPERED,100.0,95.56
8,2.13,2.4,1,TAMPERED,96.21,794301.375,TAMPERED,100.0,95.56
9,2.4,2.67,1,TAMPERED,96.49,782772.6875,TAMPERED,100.0,95.56
10,2.67,2.93,1,TAMPERED,96.55,780651.875,TAMPERED,100.0,95.56
11,2.93,3.2,1,TAMPERED,96.52,782378.375,TAMPERED,100.0,95.56
12,3.2,3.47,1,TAMPERED,95.74,807613.875,TAMPERED,100.0,95.56
13,3.47,3.73,1,TAMPERED,95.28,823726.875,TAMPERED,100.0,95.56
14,3.73,4.0,1,TAMPERED,95.12,820114.9375,TAMPERED,100.0,95.56
15,4.0,4.27,1,TAMPERED,94.42,832578.0,TAMPERED,100.0,95.56
16,4.27,4.53,1,TAMPERED,94.33,847228.625,TAMPERED,100.0,95.56
17,4.53,4.8,1,TAMPERED,94.25,857883.0625,TAMPERED,100.0,95.56
18,4.8,5.07,1,TAMPERED,94.26,863500.6875,TAMPERED,100.0,95.56
19,5.07,5.33,1,TAMPERED,94.51,856794.3125,TAMPERED,100.0,95.56
20,5.33,5.6,1,TAMPERED,94.91,839221.5625,TAMPERED,100.0,95.56
21,5.6,5.87,1,TAMPERED,95.28,841061.9375,TAMPERED,100.0,95.56
22,5.87,6.13,1,TAMPERED,95.29,844794.1875,TAMPERED,100.0,95.56
23,6.13,6.4,1,TAMPERED,95.49,847085.1875,TAMPERED,100.0,95.56
24,6.4,6.67,1,TAMPERED,95.63,831648.8125,TAMPERED,100.0,95.56
25,6.67,6.93,1,TAMPERED,95.56,823136.75,TAMPERED,100.0,95.56
26,6.93,7.2,1,TAMPERED,95.37,826885.1875,TAMPERED,100.0,95.56
27,7.2,7.47,1,TAMPERED,94.82,812974.4375,TAMPERED,100.0,95.56
28,7.47,7.73,1,TAMPERED,94.66,816945.375,TAMPERED,100.0,95.56
29,7.73,8.0,1,TAMPERED,94.61,813211.0,TAMPERED,100.0,95.56
30,8.0,8.27,1,TAMPERED,94.81,812341.0,TAMPERED,100.0,95.56
31,8.27,8.53,1,TAMPERED,95.11,833960.125,TAMPERED,100.0,95.56
32,8.53,8.8,1,TAMPERED,95.04,832784.4375,TAMPERED,100.0,95.56
33,8.8,9.07,1,TAMPERED,95.52,824243.375,TAMPERED,100.0,95.56
34,9.07,9.33,1,TAMPERED,95.84,804453.3125,TAMPERED,100.0,95.56
35,9.33,9.6,1,TAMPERED,95.86,797246.5625,TAMPERED,100.0,95.56
36,9.6,9.87,1,TAMPERED,95.8,782777.8125,TAMPERED,100.0,95.56
37,9.87,10.13,1,TAMPERED,95.93,789439.5,TAMPERED,100.0,95.56
38,10.13,10.4,1,TAMPERED,95.9,799818.0,TAMPERED,100.0,95.56
39,10.4,10.67,1,TAMPERED,95.7,807876.4375,TAMPERED,100.0,95.56
40,10.67,10.93,1,TAMPERED,96.01,797494.625,TAMPERED,100.0,95.56
41,10.93,11.2,1,TAMPERED,96.06,794096.875,TAMPERED,100.0,95.56
42,11.2,11.47,1,TAMPERED,96.05,787793.5625,TAMPERED,100.0,95.56
43,11.47,11.73,1,TAMPERED,96.22,775363.9375,TAMPERED,100.0,95.56
44,11.73,12.0,1,TAMPERED,96.75,758070.125,TAMPERED,100.0,95.56
45,12.0,12.27,1,TAMPERED,96.87,760529.375,TAMPERED,100.0,95.56
46,12.27,12.53,1,TAMPERED,96.72,766799.4375,TAMPERED,100.0,95.56
47,12.53,12.8,1,TAMPERED,96.87,760859.6875,TAMPERED,100.0,95.56
48,12.8,13.07,1,TAMPERED,96.86,760723.1875,TAMPERED,100.0,95.56
49,13.07,13.33,1,TAMPERED,96.95,744262.5625,TAMPERED,100.0,95.56
50,13.33,13.6,1,TAMPERED,97.05,750353.3125,TAMPERED,100.0,95.56
51,13.6,13.87,1,TAMPERED,97.04,746325.1875,TAMPERED,100.0,95.56
52,13.87,14.13,1,TAMPERED,96.94,743989.1875,TAMPERED,100.0,95.56
53,14.13,14.4,1,TAMPERED,96.91,731381.8125,TAMPERED,100.0,95.56
54,14.4,14.67,1,TAMPERED,96.65,730871.125,TAMPERED,100.0,95.56
55,14.67,14.93,1,TAMPERED,96.25,737774.125,TAMPERED,100.0,95.56
56,14.93,15.2,1,TAMPERED,96.2,736668.125,TAMPERED,100.0,95.56
57,15.2,15.47,1,TAMPERED,96.38,731350.0,TAMPERED,100.0,95.56
58,15.47,15.73,1,TAMPERED,96.35,733039.0625,TAMPERED,100.0,95.56
59,15.73,16.0,1,TAMPERED,96.28,740110.6875,TAMPERED,100.0,95.56
60,16.0,16.27,1,TAMPERED,96.57,739842.8125,TAMPERED,100.0,95.56
61,16.27,16.53,1,TAMPERED,96.64,737619.375,TAMPERED,100.0,95.56
62,16.53,16.8,1,TAMPERED,96.94,733327.25,TAMPERED,100.0,95.56
63,16.8,17.07,1,TAMPERED,97.03,732643.3125,TAMPERED,100.0,95.56
64,17.07,17.33,1,TAMPERED,97.03,737865.625,TAMPERED,100.0,95.56
65,17.33,17.6,1,TAMPERED,97.15,729884.75,TAMPERED,100.0,95.56
66,17.6,17.87,1,TAMPERED,97.06,720545.125,TAMPERED,100.0,95.56
