window,start_sec,end_sec,prediction,label,confidence,tcd_score,overall_verdict,tampered_ratio,avg_confidence
0,0.0,0.27,0,NORMAL,86.56,0.0,NORMAL,0.0,99.47
1,0.27,0.53,0,NORMAL,99.34,783440.75,NORMAL,0.0,99.47
2,0.53,0.8,0,NORMAL,99.35,790837.5,NORMAL,0.0,99.47
3,0.8,1.07,0,NORMAL,99.34,772142.1875,NORMAL,0.0,99.47
4,1.07,1.33,0,NORMAL,99.37,798685.6875,NORMAL,0.0,99.47
5,1.33,1.6,0,NORMAL,99.45,804329.9375,NORMAL,0.0,99.47
6,1.6,1.87,0,NORMAL,99.45,812587.6875,NORMAL,0.0,99.47
7,1.87,2.13,0,NORMAL,99.38,804689.125,NORMAL,0.0,99.47
8,2.13,2.4,0,NORMAL,99.35,810652.5625,NORMAL,0.0,99.47
9,2.4,2.67,0,NORMAL,99.28,795679.875,NORMAL,0.0,99.47
10,2.67,2.93,0,NORMAL,99.28,796443.625,NORMAL,0.0,99.47
11,2.93,3.2,0,NORMAL,99.25,811556.9375,NORMAL,0.0,99.47
12,3.2,3.47,0,NORMAL,99.35,815723.5625,NORMAL,0.0,99.47
13,3.47,3.73,0,NORMAL,99.44,829123.1875,NORMAL,0.0,99.47
14,3.73,4.0,0,NORMAL,99.47,831287.0625,NORMAL,0.0,99.47
15,4.0,4.27,0,NORMAL,99.43,823835.4375,NORMAL,0.0,99.47
16,4.27,4.53,0,NORMAL,99.47,829779.0625,NORMAL,0.0,99.47
17,4.53,4.8,0,NORMAL,99.49,829526.25,NORMAL,0.0,99.47
18,4.8,5.07,0,NORMAL,99.49,834098.625,NORMAL,0.0,99.47
19,5.07,5.33,0,NORMAL,99.46,834899.5625,NORMAL,0.0,99.47
20,5.33,5.6,0,NORMAL,99.37,835719.4375,NORMAL,0.0,99.47
21,5.6,5.87,0,NORMAL,99.34,835956.0,NORMAL,0.0,99.47
22,5.87,6.13,0,NORMAL,99.34,833157.75,NORMAL,0.0,99.47
23,6.13,6.4,0,NORMAL,99.38,835407.0,NORMAL,0.0,99.47
24,6.4,6.67,0,NORMAL,99.5,833761.6875,NORMAL,0.0,99.47
25,6.67,6.93,0,NORMAL,99.57,844164.375,NORMAL,0.0,99.47
26,6.93,7.2,0,NORMAL,99.58,845174.875,NORMAL,0.0,99.47
27,7.2,7.47,0,NORMAL,99.62,805837.9375,NORMAL,0.0,99.47
28,7.47,7.73,0,NORMAL,99.59,808406.4375,NORMAL,0.0,99.47
29,7.73,8.0,0,NORMAL,99.6,800386.0625,NORMAL,0.0,99.47
30,8.0,8.27,0,NORMAL,99.57,744655.5625,NORMAL,0.0,99.47
31,8.27,8.53,0,NORMAL,99.45,712073.3125,NORMAL,0.0,99.47
32,8.53,8.8,0,NORMAL,99.43,743247.6875,NORMAL,0.0,99.47
33,8.8,9.07,0,NORMAL,99.6,823313.3125,NORMAL,0.0,99.47
34,9.07,9.33,0,NORMAL,99.62,866030.125,NORMAL,0.0,99.47
35,9.33,9.6,0,NORMAL,99.39,1013314.0,NORMAL,0.0,99.47
36,9.6,9.87,0,NORMAL,99.41,1035693.4375,NORMAL,0.0,99.47
37,9.87,10.13,0,NORMAL,99.45,1035840.875,NORMAL,0.0,99.47
38,10.13,10.4,0,NORMAL,99.53,1042163.0,NORMAL,0.0,99.47
39,10.4,10.67,0,NORMAL,99.55,1056946.5,NORMAL,0.0,99.47
40,10.67,10.93,0,NORMAL,99.53,1056865.125,NORMAL,0.0,99.47
41,10.93,11.2,0,NORMAL,99.57,1058819.875,NORMAL,0.0,99.47
42,11.2,11.47,0,NORMAL,99.63,1070884.75,NORMAL,0.0,99.47
43,11.47,11.73,0,NORMAL,99.65,1075040.625,NORMAL,0.0,99.47
44,11.73,12.0,0,NORMAL,99.7,988264.0625,NORMAL,0.0,99.47
45,12.0,12.27,0,NORMAL,99.54,865408.625,NORMAL,0.0,99.47
46,12.27,12.53,0,NORMAL,99.63,364807.34375,NORMAL,0.0,99.47
47,12.53,12.8,0,NORMAL,97.97,87665.3125,NORMAL,0.0,99.47
48,12.8,13.07,0,NORMAL,99.34,143336.15625,NORMAL,0.0,99.47
49,13.07,13.33,0,NORMAL,95.64,248375.015625,NORMAL,0.0,99.47
